stock_ID	 stock_ticker 	date 	price 	exchange_ID
1123	AAPL	13-May-08	54.77	G
1123	AAPL	14-May-08	55.32	G
1123	AAPL	15-May-08	53.12	G
1123	AAPL	16-May-08	52.01	G
51864	RIM	13-May-08	102.03	A
51864	RIM	14-May-08	102.32	A
51864	RIM	15-May-08	107.54	A
51864	RIM	16-May-08	NaN	A
5428	GENZ	13-May-08	56.43	E
5428	GENZ	14-May-08	52.53	E
5428	GENZ	15-May-08	53.21	E
5428	GENZ	16-May-08	56.01	E
8436	AMZN	13-May-08	23.43	E
8436	AMZN	14-May-08	24.53	E
8436	AMZN	15-May-08	24.07	E
8436	AMZN	16-May-08	26.21	E
48555	MFST	13-May-08	21.07	G
48555	MFST	14-May-08	22.21	G
48555	MFST	15-May-08		G
48555	MFST	16-May-08	23.12	G
15689	GOOG	20080512	634.21	F
15689	GOOG	20080514	650.2	F
15689	GOOG	20080515	649	F
15689	GOOG	20080516	637.8	F
